Ýller;Aydýnlatma;Mesken;Sanayi;Ticarethane;Total_Consumption;Tüketici_Sayýsý
Kütahya;41565.08;275115.65;797186.96;364394.98;1478262.67;372.831
Malatya;45761.83;377528.6;558242.81;443360.7;1424893.94;406.430
Manisa;72043.95;861327.03;2116944.87;940255.79;3990571.64;765.686
Mardin;25805.1;292156.89;288805.6;366729.77;973497.36;249.631
Mersin;88831.49;1382852.86;1618756.13;1252508.07;4342948.55;953.969
Muðla;71124.77;896202.34;712927.79;1487917.53;3168172.43;588.683
Muþ;7834.67;146225.37;116936.5;116771.43;387767.97;119.669
Nevþehir;31620.06;168112.09;149057.42;206050.71;554840.28;181.556
Niðde;31709.02;165821.12;502392.07;182388.98;882311.19;194.602
Ordu;68937.22;445229.86;352155.54;320725.11;1187047.73;492.664
Osmaniye;24003.45;331788.95;3030571.04;257241.18;3643604.62;220.501
Rize;42408.43;229004.47;226280.63;208076.97;705770.5;232.904
Sakarya;59530.68;611816.05;2379468.95;668126.61;3718942.29;467.457
Samsun;96423.07;799843.97;848836.69;718549.99;2463653.72;760.104
Siirt;15364.14;117095.11;132899.3;107761.59;373120.14;89.426
Sinop;21616.89;146463.59;72846.38;92328.13;333254.99;158.681
Sivas;49993.17;318070.88;396653.72;305423.52;1070141.29;357.487
Þanlýurfa;54045.14;841145.27;740524.49;876445.51;2512160.41;565.157
Þýrnak;11647.21;96575.21;103960.8;143180.71;355363.93;101.770
Tekirdað;48491.24;589859.94;4693001.76;800665.21;6132018.15;556.531
Tokat;39795.31;307556.69;222746.08;230030.53;800128.61;316.980
Trabzon;78993.06;595471.77;203622.73;491777.13;1369864.69;527.861
Tunceli;9327.72;38176.3;8789.68;54935.36;111229.06;55.815
Uþak;21687.27;195075.55;826647.22;405486.77;1448896.81;210.071
Van;18099.8;410753.93;102969.09;366098.47;897921.29;333.685
Yalova;16166.35;180320.6;148856.93;192712.27;538056.15;194.517
Yozgat;33245.59;209178.31;165168.59;203674.12;611266.61;248.164
Zonguldak;72384.41;405236.06;493495.5;308390.63;1279506.6;380.806
;;;;;;
